priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.7724376,7.6438084,45.249157,4.737,32.398,DEEPAKNTR,2024-07-07
4.9235373,7.8861074,46.730705,4.889,33.433,DEEPAKNTR,2024-07-13
4.9329476,7.90017,46.725533,4.898,32.743,DEEPAKNTR,2024-07-20
5.1846285,8.30324,49.018803,5.149,34.426,DEEPAKNTR,2024-07-27
5.4958787,8.80171,52.083965,5.461,36.507,DEEPAKNTR,2024-08-03
5.1914997,8.74555,48.541668,5.158,33.645,DEEPAKNTR,2024-08-10
4.8954306,8.246796,45.87472,4.771,31.123,DEEPAKNTR,2024-08-17
4.9775424,8.017608,44.44515,4.726,30.826,DEEPAKNTR,2024-08-24
4.912986,8.276368,45.87234,4.879,31.828,DEEPAKNTR,2024-09-01
4.946323,8.332528,46.293053,4.913,32.045,DEEPAKNTR,2024-09-08
4.9470825,8.333808,46.292843,4.914,32.05,DEEPAKNTR,2024-09-15
4.8004827,8.086847,44.98497,4.767,31.094,DEEPAKNTR,2024-09-21
4.8900294,8.237697,45.665195,4.857,31.678,DEEPAKNTR,2024-09-28
4.773475,8.04135,44.640095,4.74,30.918,DEEPAKNTR,2024-10-05
4.7744884,8.0430565,44.64252,4.741,30.925,DEEPAKNTR,2024-10-12
4.791368,8.071492,44.772083,4.758,31.035,DEEPAKNTR,2024-10-19
