priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.3376482,0.7631137,,0.754,8.949,RAIN,2024-07-07
0.35153127,0.7945379,,0.768,9.114,RAIN,2024-07-13
0.32477883,0.7340715,,0.742,8.797,RAIN,2024-07-20
0.33440566,0.7558302,,0.751,8.911,RAIN,2024-07-27
0.34504583,0.7798794,,0.762,9.037,RAIN,2024-08-03
0.33235317,0.7460489,,0.782,11.773,RAIN,2024-08-10
0.32427278,0.7337018,,0.774,11.66,RAIN,2024-08-17
0.3455761,0.7819029,,0.798,12.012,RAIN,2024-08-24
0.35607037,0.8056473,,0.808,12.17,RAIN,2024-09-01
0.3541814,0.80137336,,0.806,12.142,RAIN,2024-09-08
0.38818282,0.8783052,,0.84,12.655,RAIN,2024-09-15
0.36771902,0.8320036,,0.82,12.346,RAIN,2024-09-21
0.37548476,0.84957445,,0.827,12.463,RAIN,2024-09-28
0.35942855,0.81324553,,0.811,12.221,RAIN,2024-10-05
0.3690826,0.8208438,,0.815,12.272,RAIN,2024-10-12
0.37317604,0.84435076,,0.825,12.428,RAIN,2024-10-19
