priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
7.666337,3.03366,17.39152,7.904,13.285,UTIAMC,2024-07-07
7.7502484,3.0668647,17.576036,7.988,13.426,UTIAMC,2024-07-13
7.2609253,2.8714151,16.447674,5.174,8.874,UTIAMC,2024-07-20
7.7100816,3.049039,17.065413,5.443,9.334,UTIAMC,2024-07-27
7.3549147,3.011484,16.836088,5.339,9.028,UTIAMC,2024-08-03
7.047888,2.8798249,16.102644,5.018,8.485,UTIAMC,2024-08-10
7.389543,3.0252588,16.92133,5.346,9.039,UTIAMC,2024-08-17
8.038847,3.2904623,18.416653,6.02,10.179,UTIAMC,2024-08-24
8.140869,3.332222,18.656439,6.122,10.351,UTIAMC,2024-09-01
9.180219,3.757649,21.00762,7.16,12.106,UTIAMC,2024-09-08
9.132488,3.737349,20.921267,7.111,12.022,UTIAMC,2024-09-15
9.084656,3.7177742,20.804934,7.063,11.942,UTIAMC,2024-09-21
8.878819,3.6323698,20.323706,6.854,11.589,UTIAMC,2024-09-28
8.61725,3.5253606,19.724972,6.593,11.148,UTIAMC,2024-10-05
8.728033,3.5172405,19.685926,6.573,11.114,UTIAMC,2024-10-12
9.2498865,3.7174842,20.789816,7.062,11.941,UTIAMC,2024-10-19
