priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
11.980067,10.035369,44.05023,13.507,23.464,360ONE,2024-07-07
11.672151,9.742537,42.92163,13.162,22.863,360ONE,2024-07-13
11.996229,10.0499325,44.25561,13.524,23.494,360ONE,2024-07-20
12.3986025,10.368252,45.573845,13.9,24.146,360ONE,2024-07-27
12.3986025,10.368252,45.657352,13.9,24.146,360ONE,2024-07-27
13.145609,10.988246,45.257072,14.632,25.418,360ONE,2024-08-03
11.481195,10.749506,44.44516,12.817,21.219,360ONE,2024-08-10
11.891182,11.126599,45.866207,12.745,21.1,360ONE,2024-08-17
12.072844,11.286279,46.504498,13.383,22.156,360ONE,2024-08-24
11.956004,11.161968,46.091064,13.252,21.939,360ONE,2024-09-01
12.127368,11.337252,46.734562,13.437,22.245,360ONE,2024-09-08
12.160195,11.36794,46.94158,13.469,22.298,360ONE,2024-09-15
12.141666,11.331011,46.668808,13.43,22.234,360ONE,2024-09-21
11.899781,11.105275,45.876667,13.192,21.84,360ONE,2024-09-28
11.301204,10.519089,43.473774,12.574,20.817,360ONE,2024-10-05
11.781067,10.994487,45.458065,13.075,21.647,360ONE,2024-10-12
12.371777,11.122959,47.62806,13.211,21.871,360ONE,2024-10-19
