quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-07-07
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-07-13
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-07-20
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-07-27
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-08-03
0.388,1.472,88.058,0.10012999,0.33664,0.17594999,0.17021,0.10689,0.22481,AARON,2024-08-10
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-08-17
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-08-24
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-09-01
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-09-08
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-09-15
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-09-21
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-09-28
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-10-05
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-10-12
,,88.058,0.10158,0.34722,0.17865999,0.16622,,,AARON,2024-10-19
