dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
2.0,0.0145000005,0.26139998,,,AARVI
2.0,0.015,0.26139998,,,AARVI
2.0,0.0154,0.26139998,,,AARVI
2.0,0.0134000005,0.26139998,,,AARVI
2.0,0.014199999,0.26139998,,,AARVI
2.0,0.0138,0.26139998,,,AARVI
2.0,0.0139999995,0.26139998,,,AARVI
2.0,0.012999999,0.26139998,,,AARVI
2.0,0.0134000005,0.2789,,,AARVI
2.0,0.0138,0.2789,,,AARVI
2.0,0.0139,0.2789,,,AARVI
2.0,0.014400001,0.2789,,,AARVI
2.0,0.0147,0.2789,,,AARVI
2.0,0.0128999995,0.2789,,,AARVI
