priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
5.4302225,7.6838865,13.73571,6.056,16.74,ADANIPOWER,2024-07-07
5.44203,7.6952677,13.756055,6.064,16.762,ADANIPOWER,2024-07-13
5.319917,7.527802,13.459303,5.946,16.435,ADANIPOWER,2024-07-20
5.458948,7.7245336,13.811048,6.085,16.819,ADANIPOWER,2024-07-27
5.4620047,7.7245336,13.811048,6.085,16.819,ADANIPOWER,2024-07-27
5.159499,7.873029,18.416582,5.74,14.848,ADANIPOWER,2024-08-03
4.9393187,7.5375576,17.636318,5.52,14.28,ADANIPOWER,2024-08-10
4.953524,7.559236,17.669115,5.368,13.887,ADANIPOWER,2024-08-17
4.8001027,7.3251095,17.121864,5.38,13.919,ADANIPOWER,2024-08-24
4.489353,6.850896,16.025608,5.07,13.116,ADANIPOWER,2024-09-01
4.510665,6.87962,16.10505,5.089,13.164,ADANIPOWER,2024-09-08
4.5000086,6.866071,16.052965,5.08,13.141,ADANIPOWER,2024-09-15
4.725915,7.209673,16.869135,5.305,13.724,ADANIPOWER,2024-09-21
4.6473913,7.0920677,16.58555,5.228,13.524,ADANIPOWER,2024-09-28
4.5607367,6.9598293,16.288687,5.141,13.3,ADANIPOWER,2024-10-05
4.5813313,6.9619975,16.285498,5.143,13.304,ADANIPOWER,2024-10-12
4.3426795,6.6270676,15.502029,4.923,12.736,ADANIPOWER,2024-10-19
