priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.4724402,3.2969716,23.810196,2.566,10.56,AGI,2024-07-07
2.3340032,3.112608,22.472965,2.428,9.992,AGI,2024-07-13
2.0794523,2.7747266,20.038628,2.175,8.949,AGI,2024-07-20
2.1322339,2.8451557,20.041445,2.227,9.167,AGI,2024-07-27
2.1322339,2.8451557,20.531393,2.227,9.167,AGI,2024-07-27
2.045552,2.7372832,19.76313,2.14,8.682,AGI,2024-08-03
2.0657976,2.709825,19.56992,2.119,8.599,AGI,2024-08-10
2.291288,3.0666063,22.17509,2.362,9.581,AGI,2024-08-17
2.4296753,3.2525744,23.471436,2.525,10.244,AGI,2024-08-24
2.5217097,3.372928,24.39015,2.615,10.609,AGI,2024-09-01
2.396778,3.2069294,23.148006,2.491,10.106,AGI,2024-09-08
2.420219,3.2399151,23.416237,2.516,10.206,AGI,2024-09-15
2.3303146,3.1195617,22.563837,2.426,9.841,AGI,2024-09-21
2.549947,3.4135807,24.690481,2.645,10.732,AGI,2024-09-28
2.4945397,3.3267481,24.037619,2.58,10.469,AGI,2024-10-05
2.754529,3.6874518,26.66452,2.85,11.562,AGI,2024-10-12
2.555541,3.384161,24.752216,2.623,10.643,AGI,2024-10-19
