dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
11.5,0.0084,0.0681,,,ALBERTDAVD
11.5,0.0089,0.0681,,,ALBERTDAVD
11.5,0.0095,0.0681,,,ALBERTDAVD
11.5,0.0088,0.0681,,,ALBERTDAVD
11.5,0.0091,0.0681,,,ALBERTDAVD
11.5,0.0101,0.0631,,,ALBERTDAVD
11.5,0.007900001,0.0631,,,ALBERTDAVD
11.5,0.0070999996,0.0631,,,ALBERTDAVD
11.5,0.0073,0.0631,,,ALBERTDAVD
11.5,0.0075,0.0631,,,ALBERTDAVD
11.5,0.0078,0.0631,,,ALBERTDAVD
11.5,0.0081,0.0631,,,ALBERTDAVD
11.5,0.0085,0.0631,,,ALBERTDAVD
