priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.2687036,,,1.064,-91.456,ANSALAPI,2024-07-07
0.29004183,,,1.086,-93.292,ANSALAPI,2024-07-13
0.27528948,,,1.071,-92.022,ANSALAPI,2024-07-20
0.26764986,,,1.053,-90.458,ANSALAPI,2024-07-27
0.25711247,,,1.053,-90.458,ANSALAPI,2024-07-27
0.2644884,,,1.059,-91.047,ANSALAPI,2024-08-03
0.25105345,,,1.046,-89.936,ANSALAPI,2024-08-10
0.28972867,,,1.134,-380.494,ANSALAPI,2024-08-17
0.28431582,,,1.14,-382.378,ANSALAPI,2024-08-24
0.28032744,,,1.136,-381.059,ANSALAPI,2024-09-01
0.2871647,,,1.143,-383.32,ANSALAPI,2024-09-08
0.34613678,,,1.198,-401.971,ANSALAPI,2024-09-15
0.42277026,,,1.277,-428.158,ANSALAPI,2024-09-21
0.4090957,,,1.257,-421.565,ANSALAPI,2024-09-28
0.38260138,,,1.237,-414.876,ANSALAPI,2024-10-05
0.36322916,,,1.218,-408.471,ANSALAPI,2024-10-12
0.34528142,,,1.2,-402.442,ANSALAPI,2024-10-19
