priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
27.888134,1.4353611,,30.883,-76.213,ANTGRAPHIC,2024-07-07
27.149374,1.3973384,,30.145,-74.391,ANTGRAPHIC,2024-07-13
26.225925,1.3498098,,29.222,-72.114,ANTGRAPHIC,2024-07-20
34.35227,1.7680608,,37.341,-92.15,ANTGRAPHIC,2024-07-27
28.811579,1.4828897,,31.805,-78.489,ANTGRAPHIC,2024-08-03
27.518753,1.4163498,,30.514,-75.302,ANTGRAPHIC,2024-08-10
27.703444,1.4258554,,30.514,-75.302,ANTGRAPHIC,2024-08-17
35.526325,1.758555,,38.704,-64.08,ANTGRAPHIC,2024-08-24
44.936,2.2243345,,48.124,-79.675,ANTGRAPHIC,2024-09-01
38.02277,1.8821292,,41.203,-68.217,ANTGRAPHIC,2024-09-08
47.43245,2.3479087,,50.623,-83.813,ANTGRAPHIC,2024-09-15
42.63159,2.1102662,,48.701,-80.63,ANTGRAPHIC,2024-09-21
37.830734,1.8726236,,41.011,-67.899,ANTGRAPHIC,2024-09-28
37.062595,1.8346007,,40.242,-66.626,ANTGRAPHIC,2024-10-05
35.910393,1.7775664,,39.089,-64.717,ANTGRAPHIC,2024-10-12
36.486496,1.8060836,,39.666,-65.671,ANTGRAPHIC,2024-10-19
