quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.861,1.537,12.269,0.05108,0.22367,0.094239995,0.087510005,0.09859,0.26996002,APARINDS,2024-07-07
0.861,1.537,12.269,0.05108,0.22367,0.094239995,0.087510005,0.09859,0.26996002,APARINDS,2024-07-13
0.861,1.537,12.269,0.05108,0.22367,0.094239995,0.087510005,0.09859,0.26996002,APARINDS,2024-07-20
0.861,1.537,12.269,0.05108,0.22367,0.094239995,0.087510005,0.09859,0.26996002,APARINDS,2024-07-27
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-08-03
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-08-10
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-08-17
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-08-24
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-09-01
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-09-08
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-09-15
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-09-21
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-09-28
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-10-05
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-10-12
,,12.269,0.050630003,0.22294001,0.09473,0.0859,,,APARINDS,2024-10-19
