quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.973,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-07-07
0.973,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-07-13
0.973,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-07-20
0.973,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-07-27
0.969,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-08-03
0.969,3.007,21.505,0.01816,0.30020002,0.05129,0.00265,0.02649,0.029579999,APEX,2024-08-10
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-08-17
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-08-24
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-09-01
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-09-08
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-09-15
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-09-21
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-09-28
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-10-05
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-10-12
,,21.505,0.02004,0.30945,0.05337,0.03726,,,APEX,2024-10-19
