priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
6.6199694,2.5031486,10.845783,9.773,,ARMANFIN,2024-07-07
6.544132,2.471902,10.706508,9.696,,ARMANFIN,2024-07-13
6.342613,2.3982744,10.395153,9.516,,ARMANFIN,2024-07-20
6.038186,2.2758017,9.861745,9.215,,ARMANFIN,2024-07-27
6.023597,2.2758017,9.861745,9.215,,ARMANFIN,2024-07-27
5.8923855,2.228034,9.652749,9.097,,ARMANFIN,2024-08-03
5.560888,2.1026878,9.107337,8.79,,ARMANFIN,2024-08-10
5.3595204,2.0265465,9.514642,8.913,,ARMANFIN,2024-08-17
5.2878795,2.018166,9.478493,8.88,,ARMANFIN,2024-08-24
5.5008373,2.0965822,9.842354,9.085,,ARMANFIN,2024-09-01
5.311092,2.0270255,9.5238495,8.903,,ARMANFIN,2024-09-08
5.3382316,2.0325923,9.541955,8.917,,ARMANFIN,2024-09-15
5.7376447,2.1837378,10.253809,9.313,,ARMANFIN,2024-09-21
5.1925583,1.9795567,9.293503,8.778,,ARMANFIN,2024-09-28
5.0861006,1.9389719,9.107574,8.672,,ARMANFIN,2024-10-05
4.9022636,1.8453516,8.665392,8.427,,ARMANFIN,2024-10-12
4.7986236,1.8248197,8.568979,8.373,,ARMANFIN,2024-10-19
