priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.3902874,5.3757443,49.2488,4.21,43.433,ASHIANA,2024-07-07
4.4851117,5.4918528,50.2521,4.305,44.416,ASHIANA,2024-07-13
4.354371,5.3193307,48.79061,4.164,42.955,ASHIANA,2024-07-20
4.3618793,5.3403215,48.806953,4.181,43.133,ASHIANA,2024-07-27
4.3677797,5.3403215,48.806953,4.181,43.133,ASHIANA,2024-07-27
4.1197453,5.0444756,46.103115,3.938,40.627,ASHIANA,2024-08-03
4.0538507,4.96379,45.474762,3.872,39.944,ASHIANA,2024-08-10
3.6907036,4.5380597,51.244442,3.747,44.304,ASHIANA,2024-08-17
3.8849034,4.6239934,52.369987,3.795,44.873,ASHIANA,2024-08-24
3.5445268,4.3583217,49.287838,3.566,42.158,ASHIANA,2024-09-01
3.4602349,4.254677,48.766914,3.476,41.098,ASHIANA,2024-09-08
3.8016706,4.6745033,53.74057,3.839,45.39,ASHIANA,2024-09-15
3.682168,4.5275645,51.972893,3.712,43.888,ASHIANA,2024-09-21
3.5157182,4.322899,49.474476,3.535,41.796,ASHIANA,2024-09-28
3.3706112,4.143817,47.63952,3.38,39.965,ASHIANA,2024-10-05
3.2889838,4.044108,46.493214,3.294,38.946,ASHIANA,2024-10-12
3.3567374,4.1274176,47.37952,3.366,39.798,ASHIANA,2024-10-19
