quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.407,1.092,345.368,0.05424,0.36167,0.17174,0.17452998,0.07164,0.2385,ASHOKLEY,2024-07-07
0.407,1.092,345.368,0.05424,0.36167,0.17174,0.17452998,0.07164,0.2385,ASHOKLEY,2024-07-13
0.407,1.092,345.368,0.05424,0.36167,0.17174,0.17452998,0.07164,0.2385,ASHOKLEY,2024-07-20
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-07-27
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-08-03
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-08-10
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-08-17
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-08-24
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-09-01
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-09-08
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-09-15
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-09-21
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-09-28
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-10-05
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-10-12
,,345.368,0.0523,0.36839,0.17563,0.1523,,,ASHOKLEY,2024-10-19
