quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-07-07
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-07-13
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-07-20
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-07-27
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-08-03
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-08-10
2.004,2.186,8.046,0.08347999,0.27651,0.13708,0.17056999,0.04551,0.10702,ASIANENE,2024-08-17
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-08-24
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-09-01
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-09-08
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-09-15
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-09-21
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-09-28
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-10-05
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-10-12
,,8.046,0.095740005,0.29282,0.15243,0.03206,,,ASIANENE,2024-10-19
