priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.576404,3.733998,94.21053,5.073,13.944,ASTERDM,2024-07-07
4.5353703,3.7010605,93.37951,5.032,13.832,ASTERDM,2024-07-13
4.3470125,3.532531,89.375,4.825,13.261,ASTERDM,2024-07-20
4.465409,3.643969,92.709496,4.962,13.639,ASTERDM,2024-07-27
4.466082,3.643969,92.709496,4.962,13.639,ASTERDM,2024-07-27
5.0069356,4.0858784,87.77123,5.167,14.202,ASTERDM,2024-08-03
5.262679,4.4800286,131.62903,5.714,14.533,ASTERDM,2024-08-10
5.046657,4.293933,124.95207,5.458,13.88,ASTERDM,2024-08-17
5.171753,4.3954897,128.31732,5.615,14.28,ASTERDM,2024-08-24
5.2452683,4.465207,129.9361,5.697,14.489,ASTERDM,2024-09-01
5.3239408,4.53218,131.46497,5.776,14.689,ASTERDM,2024-09-08
5.3613424,4.564019,133.23718,5.813,14.784,ASTERDM,2024-09-15
5.448551,4.6249533,134.58466,5.885,14.966,ASTERDM,2024-09-21
5.359408,4.562372,133.1891,5.811,14.779,ASTERDM,2024-09-28
5.319427,4.528337,131.77316,5.771,14.677,ASTERDM,2024-10-05
5.4193797,4.6134253,135.11255,5.871,14.931,ASTERDM,2024-10-12
5.4845104,4.66887,137.17743,5.936,15.097,ASTERDM,2024-10-19
