earningsGrowth,revenueGrowth,symbol,Date
2.679,0.37,ASTRAMICRO,2024-07-07
2.679,0.37,ASTRAMICRO,2024-07-13
2.679,0.37,ASTRAMICRO,2024-07-20
2.679,0.37,ASTRAMICRO,2024-07-27
2.679,0.37,ASTRAMICRO,2024-08-03
2.679,0.37,ASTRAMICRO,2024-08-10
2.679,0.37,ASTRAMICRO,2024-08-17
,0.16,ASTRAMICRO,2024-08-24
,0.16,ASTRAMICRO,2024-09-01
,0.16,ASTRAMICRO,2024-09-08
,0.16,ASTRAMICRO,2024-09-15
,0.16,ASTRAMICRO,2024-09-21
,0.16,ASTRAMICRO,2024-09-28
,0.16,ASTRAMICRO,2024-10-05
,0.16,ASTRAMICRO,2024-10-12
,0.16,ASTRAMICRO,2024-10-19
