priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
13.306851,24.216772,106.383064,12.921,90.752,ASTRAZEN,2024-07-07
13.03728,23.7058,104.17052,12.64,88.779,ASTRAZEN,2024-07-13
12.253003,22.291126,98.035515,11.863,83.912,ASTRAZEN,2024-07-20
13.841054,25.187521,107.51912,13.454,95.171,ASTRAZEN,2024-07-27
13.842382,25.187521,111.11696,13.454,95.171,ASTRAZEN,2024-07-27
13.585548,24.721176,108.68921,13.198,93.358,ASTRAZEN,2024-08-03
12.938816,23.545656,175.43301,12.393,87.664,ASTRAZEN,2024-08-10
11.959951,23.307394,172.3948,11.475,103.615,ASTRAZEN,2024-08-17
12.342262,24.055899,178.58055,11.981,108.184,ASTRAZEN,2024-08-24
11.867153,23.12988,172.42538,11.506,103.894,ASTRAZEN,2024-09-01
12.428664,24.175468,178.58366,12.043,108.738,ASTRAZEN,2024-09-08
12.250825,23.877684,178.56091,11.89,107.358,ASTRAZEN,2024-09-15
12.404626,24.135262,179.54416,12.022,108.552,ASTRAZEN,2024-09-21
12.946383,25.233171,188.69748,12.585,113.638,ASTRAZEN,2024-09-28
13.398687,26.114943,192.31189,13.038,117.723,ASTRAZEN,2024-10-05
14.033786,27.352793,204.06604,13.673,123.457,ASTRAZEN,2024-10-12
13.549309,26.408514,197.1762,13.188,119.083,ASTRAZEN,2024-10-19
