earningsGrowth,revenueGrowth,symbol,Date
0.116,0.174,AVANTIFEED,2024-07-07
0.116,0.174,AVANTIFEED,2024-07-13
0.115,0.174,AVANTIFEED,2024-07-20
0.115,0.174,AVANTIFEED,2024-07-27
0.115,0.174,AVANTIFEED,2024-08-03
0.205,-0.031,AVANTIFEED,2024-08-10
0.205,-0.031,AVANTIFEED,2024-08-17
0.205,-0.031,AVANTIFEED,2024-08-24
0.205,-0.031,AVANTIFEED,2024-09-01
0.205,-0.031,AVANTIFEED,2024-09-08
0.205,-0.031,AVANTIFEED,2024-09-15
0.205,-0.031,AVANTIFEED,2024-09-21
0.205,-0.031,AVANTIFEED,2024-09-28
0.205,-0.031,AVANTIFEED,2024-10-05
0.205,-0.031,AVANTIFEED,2024-10-12
0.205,-0.031,AVANTIFEED,2024-10-19
