earningsGrowth,revenueGrowth,symbol,Date
20.201,0.134,AYMSYNTEX,2024-07-07
20.201,0.134,AYMSYNTEX,2024-07-13
20.201,0.134,AYMSYNTEX,2024-07-20
20.201,0.134,AYMSYNTEX,2024-07-27
20.201,0.134,AYMSYNTEX,2024-08-03
20.201,0.134,AYMSYNTEX,2024-08-10
,0.087,AYMSYNTEX,2024-08-17
,0.087,AYMSYNTEX,2024-08-24
,0.087,AYMSYNTEX,2024-09-01
,0.087,AYMSYNTEX,2024-09-08
,0.087,AYMSYNTEX,2024-09-15
,0.087,AYMSYNTEX,2024-09-21
,0.087,AYMSYNTEX,2024-09-28
,0.087,AYMSYNTEX,2024-10-05
,0.087,AYMSYNTEX,2024-10-12
,0.087,AYMSYNTEX,2024-10-19
