priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.7350416,8.785529,93.43511,2.999,53.602,BAJAJELEC,2024-07-07
2.6447847,8.504516,90.09314,2.898,63.644,BAJAJELEC,2024-07-13
2.4652874,7.936616,84.00593,2.722,59.771,BAJAJELEC,2024-07-20
2.4917293,8.021741,84.053604,2.748,60.352,BAJAJELEC,2024-07-27
2.4917293,8.021741,85.48552,2.748,60.352,BAJAJELEC,2024-07-27
2.472612,7.960195,84.75745,2.729,59.932,BAJAJELEC,2024-08-03
2.4069772,7.820318,89.27007,2.661,61.423,BAJAJELEC,2024-08-10
2.4307106,7.8774676,90.08684,2.61,60.236,BAJAJELEC,2024-08-17
2.4095602,7.8287106,89.28441,2.664,61.482,BAJAJELEC,2024-08-24
2.3660128,7.67045,87.71938,2.615,60.358,BAJAJELEC,2024-09-01
2.4698386,8.024138,91.764175,2.724,62.87,BAJAJELEC,2024-09-08
2.4348454,7.893054,90.100365,2.683,61.939,BAJAJELEC,2024-09-15
2.4408197,7.8858604,89.52812,2.681,61.888,BAJAJELEC,2024-09-21
2.4151561,7.8438973,89.294815,2.668,61.59,BAJAJELEC,2024-09-28
2.2870655,7.4246664,84.753654,2.639,60.912,BAJAJELEC,2024-10-05
2.2399368,7.2008634,81.974525,2.47,57.023,BAJAJELEC,2024-10-12
2.117249,6.87475,78.54794,2.37,54.707,BAJAJELEC,2024-10-19
