priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.0867047,3.520603,,2.767,16.355,BAJAJHCARE,2024-07-07
2.2545948,3.834978,,2.952,17.447,BAJAJHCARE,2024-07-13
2.015878,3.4293647,,2.713,16.037,BAJAJHCARE,2024-07-20
2.148792,3.5820897,,2.803,16.568,BAJAJHCARE,2024-07-27
2.1071112,3.5820897,,2.803,16.568,BAJAJHCARE,2024-07-27
2.1624925,3.6787822,,2.86,16.904,BAJAJHCARE,2024-08-03
2.2178738,3.7729957,,2.915,17.232,BAJAJHCARE,2024-08-10
2.3416438,4.001091,,,,BAJAJHCARE,2024-08-17
2.3981218,4.0670404,,3.066,17.478,BAJAJHCARE,2024-08-24
2.2630053,3.859275,,2.945,16.787,BAJAJHCARE,2024-09-01
2.1995103,3.7551446,,2.884,16.441,BAJAJHCARE,2024-09-08
2.2435822,3.834978,,2.931,16.707,BAJAJHCARE,2024-09-15
2.5072167,3.7526653,,2.883,16.433,BAJAJHCARE,2024-09-21
2.541315,3.7977886,,2.909,16.583,BAJAJHCARE,2024-09-28
2.448077,3.6584518,,2.828,16.12,BAJAJHCARE,2024-10-05
2.5180886,3.7630785,,2.889,16.468,BAJAJHCARE,2024-10-12
2.5363379,3.7903507,,2.905,16.558,BAJAJHCARE,2024-10-19
