priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
14.846361,,,43.347,-35.18,BALKRISHNA,2024-07-07
14.22822,,,43.148,-35.019,BALKRISHNA,2024-07-13
13.627492,,,42.958,-34.864,BALKRISHNA,2024-07-20
13.985621,,,43.085,-34.967,BALKRISHNA,2024-07-27
14.430448,,,43.225,-35.081,BALKRISHNA,2024-08-03
13.829656,,,43.016,-34.911,BALKRISHNA,2024-08-10
13.789246,,,42.996,-34.895,BALKRISHNA,2024-08-17
16.574152,,,60.416,-71.016,BALKRISHNA,2024-08-24
18.686604,,,62.326,-73.261,BALKRISHNA,2024-09-01
18.735079,,,62.362,-73.303,BALKRISHNA,2024-09-08
18.679676,,,62.32,-73.254,BALKRISHNA,2024-09-15
18.66172,,,62.206,-73.119,BALKRISHNA,2024-09-21
19.947153,,,63.423,-74.55,BALKRISHNA,2024-09-28
18.305685,,,61.874,-72.73,BALKRISHNA,2024-10-05
17.162863,,,61.001,-71.703,BALKRISHNA,2024-10-12
17.758528,,,61.031,-71.738,BALKRISHNA,2024-10-19
