quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.012,1.946,65.171,-0.01342,0.19653,0.07253,0.02797,0.0126,-0.01681,BANKA,2024-07-07
1.012,1.946,65.171,-0.01342,0.19653,0.07253,0.02797,0.0126,-0.01681,BANKA,2024-07-13
1.012,1.946,65.171,-0.01342,0.19653,0.07253,0.02797,0.0126,-0.01681,BANKA,2024-07-20
1.184,1.946,65.171,-0.013049999,0.19436,0.06345,0.03506,0.01362,-0.01681,BANKA,2024-07-27
1.184,1.946,65.171,-0.013049999,0.19436,0.06345,0.03506,0.01362,-0.01681,BANKA,2024-08-03
1.184,1.946,65.171,-0.013049999,0.19436,0.06345,0.03506,0.01362,-0.01681,BANKA,2024-08-10
1.184,1.946,65.171,-0.013049999,0.19436,0.06345,0.03506,0.01362,-0.01681,BANKA,2024-08-17
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-08-24
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-09-01
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-09-08
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-09-15
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-09-21
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-09-28
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-10-05
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-10-12
,,65.171,-0.27979,-0.0771,-0.00796,-0.23883,,,BANKA,2024-10-19
