priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
,,,,,BANKBETF,2024-07-07
,,,,,BANKBETF,2024-07-13
,,,,,BANKBETF,2024-07-20
,,,,,BANKBETF,2024-07-27
,,,,,BANKBETF,2024-08-03
,,,,,BANKBETF,2024-08-10
,,,,,BANKBETF,2024-08-17
,,,,,BANKBETF,2024-08-24
,,,,,BANKBETF,2024-09-01
,,,,,BANKBETF,2024-09-08
,,,,,BANKBETF,2024-09-15
,,,,,BANKBETF,2024-09-21
,,,,,BANKBETF,2024-09-28
,,,,,BANKBETF,2024-10-05
,,,,,BANKBETF,2024-10-12
,,,,,BANKBETF,2024-10-19
