priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.8255323,2.3873298,14.533926,1.139,9.461,BESTAGRO,2024-07-07
0.7746644,2.2428038,13.660138,1.089,9.047,BESTAGRO,2024-07-13
0.7494225,2.1684396,13.210153,1.064,8.834,BESTAGRO,2024-07-20
0.7862795,2.2517567,13.717721,1.093,9.073,BESTAGRO,2024-07-27
0.7816086,2.2517567,13.717721,1.093,9.073,BESTAGRO,2024-07-27
0.7615377,2.2047994,13.422691,1.076,8.938,BESTAGRO,2024-08-03
0.74557114,2.158573,13.141268,1.06,8.805,BESTAGRO,2024-08-10
0.758343,2.085122,36.506718,1.063,12.605,BESTAGRO,2024-08-17
0.83822715,2.306388,40.329075,1.169,13.863,BESTAGRO,2024-08-24
0.8959362,2.4644349,43.092655,1.227,14.544,BESTAGRO,2024-09-01
0.9009797,2.4732049,43.301342,1.23,14.582,BESTAGRO,2024-09-08
0.85031277,2.3396416,40.806248,1.181,14.006,BESTAGRO,2024-09-15
0.77830285,2.1333585,37.2559,1.106,13.118,BESTAGRO,2024-09-21
0.745396,2.0505896,35.833336,1.076,12.761,BESTAGRO,2024-09-28
0.73224515,2.0147777,35.207535,1.063,12.607,BESTAGRO,2024-10-05
0.7104,1.951559,34.1246,1.04,12.335,BESTAGRO,2024-10-12
0.8323172,2.2902436,39.993618,1.163,13.793,BESTAGRO,2024-10-19
