priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.2592306,,22.775963,5.001,8.718,BFUTILITIE,2024-07-07
3.2598155,,22.78005,5.002,8.719,BFUTILITIE,2024-07-13
3.045693,,21.324413,4.787,8.345,BFUTILITIE,2024-07-20
3.1679652,,22.174446,4.91,8.559,BFUTILITIE,2024-07-27
3.0938609,,21.643929,4.836,8.429,BFUTILITIE,2024-08-03
3.0113723,,20.917894,4.733,8.25,BFUTILITIE,2024-08-10
3.078262,,21.549702,4.805,8.376,BFUTILITIE,2024-08-17
3.1896102,,22.0747,4.9,8.541,BFUTILITIE,2024-08-24
3.0761178,,21.50655,4.815,8.394,BFUTILITIE,2024-09-01
2.9883595,,20.922995,4.73,8.245,BFUTILITIE,2024-09-08
3.1211622,,21.834925,4.863,8.477,BFUTILITIE,2024-09-15
2.9806168,,20.833559,4.72,8.227,BFUTILITIE,2024-09-21
3.8284717,,26.734806,5.568,9.706,BFUTILITIE,2024-09-28
4.0262117,,28.16644,5.768,10.055,BFUTILITIE,2024-10-05
4.1506286,,29.068558,5.893,10.272,BFUTILITIE,2024-10-12
4.0375223,,28.245564,5.779,10.075,BFUTILITIE,2024-10-19
