priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.9664173,10.853974,81.97304,5.296,32.343,BHARATFORG,2024-07-07
4.807285,10.508022,79.36029,5.138,31.377,BHARATFORG,2024-07-13
4.689121,10.255644,77.53559,5.023,31.514,BHARATFORG,2024-07-20
5.002342,10.940696,78.11312,5.337,33.479,BHARATFORG,2024-07-27
5.0102067,10.940696,82.633644,5.337,33.479,BHARATFORG,2024-07-27
4.9147587,10.749141,81.30648,5.249,32.93,BHARATFORG,2024-08-03
4.788902,10.626741,81.95043,5.118,30.655,BHARATFORG,2024-08-10
4.6365924,10.28876,79.38377,4.915,29.439,BHARATFORG,2024-08-17
4.7413507,10.521223,81.29955,5.071,30.37,BHARATFORG,2024-08-24
4.643908,10.304994,79.35,4.973,29.786,BHARATFORG,2024-09-01
4.5394416,10.072531,77.52123,4.869,29.159,BHARATFORG,2024-09-08
4.7294993,10.494925,80.65119,5.059,30.299,BHARATFORG,2024-09-15
4.6566367,10.33324,79.64715,4.986,29.863,BHARATFORG,2024-09-21
4.455167,9.88617,76.35406,4.785,28.656,BHARATFORG,2024-09-28
4.3183656,9.569943,73.542915,4.642,27.803,BHARATFORG,2024-10-05
4.391224,9.690395,74.6175,4.696,28.128,BHARATFORG,2024-10-12
4.3154397,9.576112,73.700645,4.645,27.819,BHARATFORG,2024-10-19
