quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.022,0.196,88.477,,1.0,,-13.79221,-0.20467,-0.55408,BLAL,2024-07-07
0.022,0.196,88.477,,1.0,,-13.79221,-0.20467,-0.55408,BLAL,2024-07-13
0.022,0.196,88.477,,1.0,,-13.79221,-0.20467,-0.55408,BLAL,2024-07-20
,,88.477,,1.0,,-196.57576,,,BLAL,2024-07-27
,,88.477,,1.0,,-196.57576,,,BLAL,2024-08-03
,,88.477,,1.0,,-196.57576,,,BLAL,2024-08-10
,,88.477,,1.0,,-196.57576,,,BLAL,2024-08-17
,,88.477,,1.0,,-196.57576,,,BLAL,2024-08-24
,,88.477,,1.0,,-196.57576,,,BLAL,2024-09-01
,,88.477,,1.0,,-196.57576,,,BLAL,2024-09-08
,,88.477,,1.0,,-196.57576,,,BLAL,2024-09-15
,,88.477,,1.0,,-196.57576,,,BLAL,2024-09-21
,,88.477,,1.0,,-196.57576,,,BLAL,2024-09-28
,,88.477,,1.0,,-196.57576,,,BLAL,2024-10-05
,,88.477,,1.0,,-196.57576,,,BLAL,2024-10-12
,,88.477,,1.0,,-196.57576,,,BLAL,2024-10-19
