priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.5523195,1.2310307,15.995781,1.54,8.018,BLISSGVS,2024-07-07
1.5746658,1.2492152,16.232067,1.562,8.137,BLISSGVS,2024-07-13
1.5028532,1.1936873,15.510548,1.493,7.774,BLISSGVS,2024-07-20
1.5750737,1.2853678,16.748941,1.559,7.792,BLISSGVS,2024-07-27
1.5691389,1.2853678,16.701828,1.559,7.792,BLISSGVS,2024-07-27
1.5440192,1.2630702,15.253595,1.532,7.657,BLISSGVS,2024-08-03
1.4882704,1.2191241,14.703655,1.478,7.389,BLISSGVS,2024-08-10
1.4702641,1.2023467,14.501306,1.443,7.212,BLISSGVS,2024-08-17
1.7303445,1.4165566,17.084856,1.719,8.591,BLISSGVS,2024-08-24
1.6560377,1.3557248,16.329857,1.645,8.22,BLISSGVS,2024-09-01
1.701656,1.3925269,16.816992,1.69,8.444,BLISSGVS,2024-09-08
1.7716739,1.4484879,17.492811,1.758,8.785,BLISSGVS,2024-09-15
1.7204955,1.4060571,16.958223,1.706,8.527,BLISSGVS,2024-09-21
1.7777553,1.4537916,17.533943,1.764,8.817,BLISSGVS,2024-09-28
1.724281,1.4100622,17.006529,1.711,8.551,BLISSGVS,2024-10-05
1.697576,1.3861407,16.718016,1.682,8.405,BLISSGVS,2024-10-12
1.8407419,1.5030416,17.038038,1.824,9.117,BLISSGVS,2024-10-19
