earningsGrowth,revenueGrowth,symbol,Date
1.973,1.02,BRIGADE,2024-07-07
1.973,1.02,BRIGADE,2024-07-13
1.974,1.02,BRIGADE,2024-07-20
1.974,1.02,BRIGADE,2024-07-27
1.974,1.02,BRIGADE,2024-08-03
1.175,0.648,BRIGADE,2024-08-10
1.175,0.648,BRIGADE,2024-08-17
1.175,0.648,BRIGADE,2024-08-24
1.175,0.648,BRIGADE,2024-09-01
1.175,0.648,BRIGADE,2024-09-08
1.175,0.648,BRIGADE,2024-09-15
1.175,0.648,BRIGADE,2024-09-21
1.175,0.648,BRIGADE,2024-09-28
1.175,0.648,BRIGADE,2024-10-05
1.175,0.648,BRIGADE,2024-10-12
1.175,0.648,BRIGADE,2024-10-19
