quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.003,0.004,,-0.73763,0.1466,-0.15623,-6.9907203,-0.16146,,BURNPUR,2024-07-07
0.003,0.004,,-0.73763,0.1466,-0.15623,-6.9907203,-0.16146,,BURNPUR,2024-07-13
0.003,0.004,,-0.73763,0.1466,-0.15623,-6.9907203,-0.16146,,BURNPUR,2024-07-20
0.003,0.004,,-0.73763,0.1466,-0.15623,-6.9907203,-0.16146,,BURNPUR,2024-07-27
0.003,0.004,,-0.73763,0.1466,-0.15623,-6.9907203,-0.16146,,BURNPUR,2024-08-03
,,,-1.14599,0.14456001,-0.27146998,-0.34782,,,BURNPUR,2024-08-10
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-08-17
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-08-24
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-09-01
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-09-08
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-09-15
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-09-21
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-09-28
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-10-05
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-10-12
,,,-1.14413,0.14595,-0.2694,-0.34563,,,BURNPUR,2024-10-19
