priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.9208527,11.842424,28.573677,4.704,20.041,CASTROLIND,2024-07-07
4.8735847,11.728671,28.331081,4.657,19.84,CASTROLIND,2024-07-13
4.7867994,11.512354,27.777277,4.567,19.457,CASTROLIND,2024-07-20
5.2430325,12.401399,30.470793,4.936,21.03,CASTROLIND,2024-07-27
5.156805,12.401399,29.956081,4.936,21.03,CASTROLIND,2024-07-27
4.976471,12.04557,29.061453,4.74,20.241,CASTROLIND,2024-08-03
4.9028096,11.867271,28.663313,4.667,19.927,CASTROLIND,2024-08-10
4.8272347,11.684342,28.158482,4.46,19.045,CASTROLIND,2024-08-17
5.186002,12.3327,29.754189,4.859,20.747,CASTROLIND,2024-08-24
5.065439,12.260918,29.581007,4.829,20.62,CASTROLIND,2024-09-01
5.05109,12.226184,29.497208,4.815,20.559,CASTROLIND,2024-09-08
4.9554253,11.992312,28.900671,4.718,20.147,CASTROLIND,2024-09-15
4.7841854,11.580142,27.907366,4.548,19.421,CASTROLIND,2024-09-21
4.675128,11.311536,27.32103,4.438,18.947,CASTROLIND,2024-09-28
4.379526,10.580744,25.498884,4.136,17.66,CASTROLIND,2024-10-05
4.3651757,10.550642,25.45475,4.124,17.607,CASTROLIND,2024-10-12
4.251908,10.29176,24.692223,4.017,17.151,CASTROLIND,2024-10-19
