dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
10.0,0.0164,0.5112,,,CENTENKA
10.0,0.0173,0.5112,,,CENTENKA
10.0,0.018099999,0.5112,,,CENTENKA
10.0,0.0177,0.5112,,,CENTENKA
10.0,0.0174,0.5112,,,CENTENKA
10.0,0.0128999995,0.4082,,,CENTENKA
10.0,0.0136,0.4082,,,CENTENKA
10.0,0.0139,0.4082,,,CENTENKA
10.0,0.013200001,0.4082,,,CENTENKA
10.0,0.0139999995,0.4082,,,CENTENKA
10.0,0.0147,0.4082,,,CENTENKA
10.0,0.0155,0.4082,,,CENTENKA
10.0,0.0154,0.4082,,,CENTENKA
10.0,0.016,0.4082,,,CENTENKA
