quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
18.567,18.584,273.701,-0.08989,0.89583,,0.06346,-0.00489,-0.03934,CENTRUM,2024-07-07
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-07-13
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-07-20
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-07-27
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-08-03
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-08-10
1.903,1.966,278.45,-0.08895001,0.88598996,,0.02211,-0.00489,-0.03934,CENTRUM,2024-08-17
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-08-24
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-09-01
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-09-08
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-09-15
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-09-21
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-09-28
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-10-05
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-10-12
,,278.45,-0.125,0.87821,,-0.60562,,,CENTRUM,2024-10-19
