quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.046,4.892,1.427,0.14994,0.45124,0.101289995,0.0718,0.03865,0.11579,CHEVIOT,2024-07-07
2.046,4.892,1.427,0.14994,0.45124,0.101289995,0.0718,0.03865,0.11579,CHEVIOT,2024-07-13
2.046,4.892,1.427,0.14994,0.45124,0.101289995,0.0718,0.03865,0.11579,CHEVIOT,2024-07-20
2.07,4.892,1.427,0.14994,0.4424,0.10027,0.07116,0.03857,0.11579,CHEVIOT,2024-07-27
2.07,4.892,1.427,0.14994,0.4424,0.10027,0.07116,0.03857,0.11579,CHEVIOT,2024-08-03
2.07,4.892,1.427,0.14994,0.4424,0.10027,0.07116,0.03857,0.11579,CHEVIOT,2024-08-10
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-08-17
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-08-24
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-09-01
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-09-08
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-09-15
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-09-21
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-09-28
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-10-05
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-10-12
,,1.427,0.17904,0.45139998,0.0979,0.070760004,,,CHEVIOT,2024-10-19
