earningsGrowth,revenueGrowth,symbol,Date
0.258,0.148,CHOLAHLDNG,2024-07-07
0.258,0.148,CHOLAHLDNG,2024-07-13
0.258,0.148,CHOLAHLDNG,2024-07-20
0.258,0.845,CHOLAHLDNG,2024-07-27
0.258,0.845,CHOLAHLDNG,2024-08-03
0.258,0.845,CHOLAHLDNG,2024-08-10
0.476,0.32,CHOLAHLDNG,2024-08-17
0.476,0.32,CHOLAHLDNG,2024-08-24
0.476,0.32,CHOLAHLDNG,2024-09-01
0.476,0.32,CHOLAHLDNG,2024-09-08
0.476,0.32,CHOLAHLDNG,2024-09-15
0.476,0.32,CHOLAHLDNG,2024-09-21
0.476,0.32,CHOLAHLDNG,2024-09-28
0.476,0.32,CHOLAHLDNG,2024-10-05
0.476,0.32,CHOLAHLDNG,2024-10-12
0.476,0.32,CHOLAHLDNG,2024-10-19
