priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.8542325,3.0636013,,3.209,12.799,CINELINE,2024-07-07
1.9862775,3.279341,,3.339,13.318,CINELINE,2024-07-13
1.845242,3.0521622,,3.202,12.771,CINELINE,2024-07-20
1.7719563,2.9318233,,3.129,12.482,CINELINE,2024-07-27
1.7669785,2.9235873,,3.124,12.462,CINELINE,2024-08-03
1.6862276,2.7899795,,3.044,12.14,CINELINE,2024-08-10
1.7015758,2.8153741,,3.027,12.075,CINELINE,2024-08-17
1.696072,2.8011897,,3.057,12.069,CINELINE,2024-08-24
1.682239,2.7773967,,3.042,12.012,CINELINE,2024-09-01
1.7197273,2.8439717,,3.083,12.172,CINELINE,2024-09-08
1.7389584,2.8714254,,3.099,12.237,CINELINE,2024-09-15
1.6545683,2.736216,,3.018,11.914,CINELINE,2024-09-21
1.6352004,2.703043,,2.997,11.835,CINELINE,2024-09-28
1.5784802,2.6103866,,2.941,11.613,CINELINE,2024-10-05
1.5645077,2.5872798,,2.927,11.558,CINELINE,2024-10-12
1.5234202,2.5193322,,2.886,11.396,CINELINE,2024-10-19
