priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
20.27657,13.34541,65.779625,19.894,47.418,CLEAN,2024-07-07
20.050348,13.196518,64.98912,19.668,46.878,CLEAN,2024-07-13
19.58618,12.89211,63.683983,19.205,45.775,CLEAN,2024-07-20
20.546694,13.524344,66.66159,20.166,48.066,CLEAN,2024-07-27
22.147554,14.578069,69.93642,20.589,49.074,CLEAN,2024-08-03
20.604887,14.177786,68.016106,20.213,48.032,CLEAN,2024-08-10
20.264616,13.937881,66.66737,20.031,47.599,CLEAN,2024-08-17
20.079054,13.695326,65.78523,19.512,46.367,CLEAN,2024-08-24
19.179432,13.19696,63.283897,18.789,44.647,CLEAN,2024-09-01
19.465237,13.386057,64.109184,19.063,45.3,CLEAN,2024-09-08
20.202934,13.901211,66.66101,19.811,47.077,CLEAN,2024-09-15
19.880602,13.67942,65.70883,19.489,46.312,CLEAN,2024-09-21
19.75,13.583547,64.945076,19.35,45.981,CLEAN,2024-09-28
20.27457,13.948926,66.66385,19.881,47.242,CLEAN,2024-10-05
20.145494,13.860123,66.21148,19.752,46.935,CLEAN,2024-10-12
20.684917,14.231246,68.01309,20.291,48.216,CLEAN,2024-10-19
