priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.7401073,4.25028,24.329128,3.428,13.956,CMSINFO,2024-07-07
3.833538,4.3564553,24.913593,3.519,14.327,CMSINFO,2024-07-13
3.7472944,4.359277,24.38728,3.551,14.526,CMSINFO,2024-07-20
3.843248,4.6443768,25.70569,3.654,15.352,CMSINFO,2024-07-27
3.854319,4.65441,25.773148,3.663,15.387,CMSINFO,2024-08-03
3.7508855,4.5327616,25.064728,3.562,14.964,CMSINFO,2024-08-10
3.8404803,4.641032,25.710976,3.653,15.348,CMSINFO,2024-08-17
3.9691617,4.725894,26.181103,3.722,15.635,CMSINFO,2024-08-24
3.8041615,4.5946307,25.44213,3.613,15.179,CMSINFO,2024-09-01
3.648491,4.409023,24.391766,3.46,14.534,CMSINFO,2024-09-08
3.9051688,4.7192054,26.10777,3.716,15.612,CMSINFO,2024-09-15
3.9919965,4.8241324,26.675915,3.803,15.977,CMSINFO,2024-09-21
4.041118,4.883493,27.029152,3.852,16.183,CMSINFO,2024-09-28
4.1033845,4.9587398,27.47105,3.915,16.445,CMSINFO,2024-10-05
4.1130867,4.9106655,27.179544,3.875,16.278,CMSINFO,2024-10-12
4.074461,4.9110837,27.169289,3.875,16.279,CMSINFO,2024-10-19
