quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.425,1.165,100.328,0.068390004,0.43351,0.19195,0.12498,0.08879,0.21152,CRAFTSMAN,2024-07-07
0.425,1.165,100.328,0.068390004,0.43351,0.19195,0.12498,0.08879,0.21152,CRAFTSMAN,2024-07-13
0.425,1.165,100.328,0.068390004,0.43351,0.19195,0.12498,0.08879,0.21152,CRAFTSMAN,2024-07-20
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-07-27
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-08-03
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-08-10
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-08-17
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-08-24
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-09-01
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-09-08
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-09-15
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-09-21
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-09-28
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-10-05
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-10-12
,,100.328,0.062030002,0.42493,0.18525,0.10844,,,CRAFTSMAN,2024-10-19
