quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.727,2.754,334.054,0.48296002,0.98559,,0.6386,0.05703,0.24766001,CREDITACC,2024-07-07
2.727,2.754,334.054,0.48296002,0.98559,,0.6386,0.05703,0.24766001,CREDITACC,2024-07-13
2.727,2.754,334.054,0.48296002,0.98559,,0.6386,0.05703,0.24766001,CREDITACC,2024-07-20
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-07-27
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-08-03
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-08-10
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-08-17
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-08-24
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-09-01
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-09-08
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-09-15
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-09-21
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-09-28
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-10-05
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-10-12
,,334.054,0.48041,0.98660004,,0.64607,,,CREDITACC,2024-10-19
