quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-07-07
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-07-13
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-07-20
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-07-27
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-08-03
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-08-10
1.276,1.778,106.692,0.026349999,0.20889999,0.12587,0.11745,0.04693,0.05271,CTE,2024-08-17
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-08-24
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-09-01
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-09-08
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-09-15
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-09-21
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-09-28
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-10-05
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-10-12
,,106.692,0.00232,0.19905001,0.11283,-0.1366,,,CTE,2024-10-19
