priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.802906,7.235622,,5.526,29.013,DANGEE,2024-07-07
4.6612816,7.022264,,5.387,28.283,DANGEE,2024-07-13
4.495027,6.7718,,5.224,27.426,DANGEE,2024-07-20
4.5484014,6.90167,,4.624,23.375,DANGEE,2024-07-27
4.432246,6.7254176,,4.527,22.882,DANGEE,2024-08-03
4.3344426,6.5306125,,4.419,22.337,DANGEE,2024-08-10
4.206049,6.3821898,,4.347,21.973,DANGEE,2024-08-17
4.536175,6.883117,,4.614,23.323,DANGEE,2024-08-24
4.3955655,6.6697593,,4.496,22.726,DANGEE,2024-09-01
4.3283176,6.567718,,4.439,22.44,DANGEE,2024-09-08
4.2549562,6.456401,,4.378,22.129,DANGEE,2024-09-15
5.2453337,7.959184,,5.21,26.333,DANGEE,2024-09-21
4.878527,7.402598,,4.901,24.776,DANGEE,2024-09-28
4.792939,7.272728,,4.83,24.413,DANGEE,2024-10-05
4.792939,7.272728,,4.83,24.413,DANGEE,2024-10-12
4.964105,6.8645644,,4.604,23.271,DANGEE,2024-10-19
