priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.4843685,1.6819066,,0.843,23.604,DCMNVL,2024-07-07
0.44388354,1.5413277,,0.802,22.455,DCMNVL,2024-07-13
0.4124182,1.4320685,,0.77,21.561,DCMNVL,2024-07-20
0.44258758,1.5368278,,0.8,22.418,DCMNVL,2024-07-27
0.40438002,1.4216286,,0.643,14.595,DCMNVL,2024-08-03
0.39082912,1.3210694,,0.622,14.121,DCMNVL,2024-08-10
0.37060487,1.3028896,,0.612,13.902,DCMNVL,2024-08-17
0.3960349,1.3681691,,0.632,14.343,DCMNVL,2024-08-24
0.4036306,1.4108887,,0.64,14.544,DCMNVL,2024-09-01
0.3849418,1.3375093,,0.625,14.198,DCMNVL,2024-09-08
0.37545183,1.3199295,,0.621,14.115,DCMNVL,2024-09-15
0.3747836,1.2835697,,0.614,13.944,DCMNVL,2024-09-21
0.36591294,1.2678498,,0.611,13.87,DCMNVL,2024-09-28
0.35285684,1.2236902,,0.601,13.661,DCMNVL,2024-10-05
0.38171533,1.3419493,,0.626,14.219,DCMNVL,2024-10-12
0.3821251,1.3150095,,0.62,14.092,DCMNVL,2024-10-19
