quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-07-07
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-07-13
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-07-20
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-07-27
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-08-03
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-08-10
,,8.589,0.00052,0.12217,0.00629,-0.24444,,,DEEPENR,2024-08-17
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-08-24
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-09-01
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-09-08
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-09-15
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-09-21
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-09-28
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-10-05
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-10-12
,,,0.00052,0.12217,0.00629,-0.22615999,,-0.00153,DEEPENR,2024-10-19
