priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.57368624,1.2021335,,0.541,28.377,DICIND,2024-07-07
0.56329656,1.1765414,,0.529,27.736,DICIND,2024-07-13
0.58208627,1.2197354,,0.549,28.818,DICIND,2024-07-20
0.6110994,1.2805312,,0.578,30.34,DICIND,2024-07-27
0.6598414,1.3826678,,0.627,32.897,DICIND,2024-08-03
0.745223,1.5615809,,0.712,37.377,DICIND,2024-08-10
0.79678285,1.6647599,,0.724,37.977,DICIND,2024-08-17
0.79428416,1.6888641,,0.767,25.725,DICIND,2024-08-24
0.77255917,1.6071776,,0.728,24.439,DICIND,2024-09-01
0.77573854,1.6540654,,0.75,25.177,DICIND,2024-09-08
0.7789178,1.6608443,,0.753,25.284,DICIND,2024-09-15
0.76492554,1.630226,,0.739,24.802,DICIND,2024-09-21
0.77361906,1.649546,,0.748,25.106,DICIND,2024-09-28
0.76715404,1.6337285,,0.741,24.857,DICIND,2024-10-05
0.77356607,1.6494331,,0.748,25.104,DICIND,2024-10-12
0.84905463,1.8076087,,0.822,27.595,DICIND,2024-10-19
