earningsGrowth,revenueGrowth,symbol,Date
0.203,0.52,DIXON,2024-07-07
0.203,0.52,DIXON,2024-07-13
0.203,0.52,DIXON,2024-07-20
0.203,0.52,DIXON,2024-07-27
1.063,1.011,DIXON,2024-08-03
1.063,1.011,DIXON,2024-08-10
1.063,1.011,DIXON,2024-08-17
1.063,1.011,DIXON,2024-08-24
1.063,1.011,DIXON,2024-09-01
1.063,1.011,DIXON,2024-09-08
1.063,1.011,DIXON,2024-09-15
1.063,1.011,DIXON,2024-09-21
1.063,1.011,DIXON,2024-09-28
1.063,1.011,DIXON,2024-10-05
1.063,1.011,DIXON,2024-10-12
1.063,1.011,DIXON,2024-10-19
