priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.0705717,5.1622934,156.51135,3.447,41.191,EIFFL,2024-07-07
3.369982,5.665667,169.8427,3.749,44.797,EIFFL,2024-07-13
3.3483567,5.6293106,168.7528,3.727,44.537,EIFFL,2024-07-20
3.2930675,5.536357,165.96631,3.672,43.871,EIFFL,2024-07-27
3.3267314,5.5929537,169.56819,3.706,44.276,EIFFL,2024-08-03
3.9433873,6.6296854,201.0,4.327,51.704,EIFFL,2024-08-10
3.8319166,6.442279,195.31819,4.16,49.708,EIFFL,2024-08-17
4.0203066,6.781484,203.29213,4.323,51.038,EIFFL,2024-08-24
3.9134269,6.601199,200.13635,4.217,49.791,EIFFL,2024-09-01
3.8936512,6.567841,199.125,4.197,49.561,EIFFL,2024-09-08
3.8743198,6.5352325,200.41379,4.178,49.335,EIFFL,2024-09-15
4.522928,7.6293106,231.30682,4.819,56.901,EIFFL,2024-09-21
4.3771634,7.3834333,221.33708,4.675,55.201,EIFFL,2024-09-28
4.48782,7.57009,226.93259,4.784,56.492,EIFFL,2024-10-05
4.604032,7.7661166,238.16092,4.899,57.847,EIFFL,2024-10-12
4.5024858,7.5948277,232.90805,4.799,56.663,EIFFL,2024-10-19
