priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
10.230746,6.824721,42.01076,10.087,25.43,EIHOTEL,2024-07-07
10.08905,6.7341166,41.493633,9.951,25.088,EIHOTEL,2024-07-13
9.699433,6.3138933,38.918785,9.536,25.064,EIHOTEL,2024-07-20
10.292709,6.7059817,40.816425,10.138,26.646,EIHOTEL,2024-07-27
10.292709,6.7059817,41.335617,10.138,26.646,EIHOTEL,2024-07-27
10.174542,6.6289926,40.821117,10.02,26.335,EIHOTEL,2024-08-03
9.36234,6.1884885,38.907185,9.21,24.88,EIHOTEL,2024-08-10
9.0237255,5.9646645,37.462612,8.771,23.693,EIHOTEL,2024-08-17
9.146207,6.0360975,37.873505,8.979,24.257,EIHOTEL,2024-08-24
9.18823,6.073402,38.18363,9.036,24.409,EIHOTEL,2024-09-01
9.269889,6.121817,38.44965,9.109,24.607,EIHOTEL,2024-09-08
9.14381,6.0337167,37.896313,8.976,24.247,EIHOTEL,2024-09-15
8.837052,5.8249736,36.621758,8.66,23.394,EIHOTEL,2024-09-21
9.134201,6.028954,37.8664,8.969,24.228,EIHOTEL,2024-09-28
9.393559,6.2091246,39.075924,9.241,24.964,EIHOTEL,2024-10-05
10.36258,6.8290052,42.93413,10.179,27.498,EIHOTEL,2024-10-12
9.827039,6.329767,40.813713,9.424,25.457,EIHOTEL,2024-10-19
