quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.788,1.912,24.943,0.05767,0.46572,0.23714,0.0937,0.02868,0.04343,ENIL,2024-07-07
1.788,1.912,24.943,0.05767,0.46572,0.23714,0.0937,0.02868,0.04343,ENIL,2024-07-13
1.788,1.912,24.943,0.05767,0.46572,0.23714,0.0937,0.02868,0.04343,ENIL,2024-07-20
1.788,1.912,24.943,0.05767,0.46572,0.23714,0.0937,0.02868,0.04343,ENIL,2024-07-27
1.788,1.912,24.943,0.05767,0.46572,0.23714,0.0937,0.02868,0.04343,ENIL,2024-08-03
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-08-10
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-08-17
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-08-24
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-09-01
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-09-08
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-09-15
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-09-21
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-09-28
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-10-05
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-10-12
,,24.943,0.05301,0.46173,0.23759001,-0.02844,,,ENIL,2024-10-19
