priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
56.07986,,,203.848,-61.59,ESSARSHPNG,2024-07-07
63.381218,,,212.651,-64.249,ESSARSHPNG,2024-07-13
66.06045,,,215.882,-65.226,ESSARSHPNG,2024-07-20
58.288696,,,206.485,-62.386,ESSARSHPNG,2024-07-27
58.258015,,,206.485,-62.386,ESSARSHPNG,2024-07-27
51.365635,,,198.141,-59.865,ESSARSHPNG,2024-08-03
48.471653,,,194.253,-58.691,ESSARSHPNG,2024-08-10
78.24687,,,310.824,-52.634,ESSARSHPNG,2024-08-17
86.34166,,,316.912,-53.665,ESSARSHPNG,2024-08-24
78.6648,,,310.947,-52.655,ESSARSHPNG,2024-09-01
77.13294,,,309.399,-52.393,ESSARSHPNG,2024-09-08
74.643654,,,306.882,-51.967,ESSARSHPNG,2024-09-15
71.30141,,,303.504,-51.394,ESSARSHPNG,2024-09-21
77.28961,,,309.557,-52.419,ESSARSHPNG,2024-09-28
71.24918,,,303.451,-51.386,ESSARSHPNG,2024-10-05
69.97843,,,302.167,-51.168,ESSARSHPNG,2024-10-12
67.00174,,,299.158,-50.658,ESSARSHPNG,2024-10-19
