earningsGrowth,revenueGrowth,symbol,Date
2.0,0.387,ESSENTIA,2024-07-07
2.0,0.387,ESSENTIA,2024-07-13
2.0,0.387,ESSENTIA,2024-07-20
1.0,0.565,ESSENTIA,2024-07-27
1.0,0.565,ESSENTIA,2024-08-03
1.0,0.565,ESSENTIA,2024-08-10
1.0,0.565,ESSENTIA,2024-08-17
1.0,0.565,ESSENTIA,2024-08-24
1.0,0.565,ESSENTIA,2024-09-01
1.0,0.565,ESSENTIA,2024-09-08
1.0,0.565,ESSENTIA,2024-09-15
1.0,0.565,ESSENTIA,2024-09-21
1.0,0.565,ESSENTIA,2024-09-28
1.0,0.565,ESSENTIA,2024-10-05
1.0,0.565,ESSENTIA,2024-10-12
1.0,0.565,ESSENTIA,2024-10-19
