quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.532,0.762,6.299,0.05511,0.03179,0.01762,-0.00775,0.00404,0.15875,ESSENTIA,2024-07-07
0.532,0.762,6.299,0.05511,0.03179,0.01762,-0.00775,0.00404,0.15875,ESSENTIA,2024-07-13
0.532,0.762,6.299,0.05511,0.03179,0.01762,-0.00775,0.00404,0.15875,ESSENTIA,2024-07-20
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-07-27
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-08-03
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-08-10
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-08-17
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-08-24
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-09-01
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-09-08
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-09-15
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-09-21
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-09-28
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-10-05
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-10-12
,,6.299,0.05368,0.02489,0.0216,0.014520001,,,ESSENTIA,2024-10-19
