quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-07-07
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-07-13
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-07-20
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-07-27
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-08-03
0.777,1.266,107.663,-0.11383,0.2902,-0.022219999,-0.04251,-0.03412,-0.16570999,ESTER,2024-08-10
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-08-17
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-08-24
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-09-01
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-09-08
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-09-15
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-09-21
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-09-28
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-10-05
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-10-12
,,107.663,-0.10538,0.29427,-0.00666,-0.02132,,,ESTER,2024-10-19
