priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.8224441,1.0495518,87.689476,1.587,55.429,EXCELINDUS,2024-07-07
1.8602551,1.076722,90.09212,1.634,57.068,EXCELINDUS,2024-07-13
1.7461338,1.0106682,84.75259,1.52,53.083,EXCELINDUS,2024-07-20
1.9558889,1.1320752,93.483635,1.73,60.408,EXCELINDUS,2024-07-27
1.9647887,1.1320752,95.21481,1.73,60.408,EXCELINDUS,2024-07-27
2.05981,1.1915237,99.992615,1.832,63.994,EXCELINDUS,2024-08-03
2.2205744,1.285276,107.54237,1.994,69.651,EXCELINDUS,2024-08-10
2.1336415,1.3097601,44.24725,1.876,29.46,EXCELINDUS,2024-08-17
2.1585977,1.3259653,44.84808,1.945,30.55,EXCELINDUS,2024-08-24
2.1692698,1.330457,45.04025,1.953,30.665,EXCELINDUS,2024-09-01
2.2305725,1.3701773,46.302086,2.017,31.68,EXCELINDUS,2024-09-08
2.2671332,1.3926356,47.17333,2.054,32.254,EXCELINDUS,2024-09-15
2.2131522,1.3594766,46.091366,2.0,31.407,EXCELINDUS,2024-09-21
2.221832,1.3642765,46.088963,2.008,31.529,EXCELINDUS,2024-09-28
2.2169518,1.3618104,46.08793,2.004,31.466,EXCELINDUS,2024-10-05
2.371374,1.4325762,48.540737,2.119,33.275,EXCELINDUS,2024-10-12
2.246278,1.3568344,46.727325,1.996,31.339,EXCELINDUS,2024-10-19
