earningsGrowth,revenueGrowth,symbol,Date
1.861,0.544,GANESHHOUC,2024-07-07
1.861,0.544,GANESHHOUC,2024-07-13
-0.295,-0.208,GANESHHOUC,2024-07-20
-0.295,-0.208,GANESHHOUC,2024-07-27
-0.295,-0.208,GANESHHOUC,2024-08-03
-0.295,-0.208,GANESHHOUC,2024-08-10
-0.295,-0.208,GANESHHOUC,2024-08-17
-0.295,-0.208,GANESHHOUC,2024-08-24
-0.295,-0.208,GANESHHOUC,2024-09-01
-0.295,-0.208,GANESHHOUC,2024-09-08
-0.295,-0.208,GANESHHOUC,2024-09-15
-0.295,-0.208,GANESHHOUC,2024-09-21
-0.295,-0.208,GANESHHOUC,2024-09-28
-0.295,-0.208,GANESHHOUC,2024-10-05
-0.295,-0.208,GANESHHOUC,2024-10-12
-0.295,-0.208,GANESHHOUC,2024-10-19
