quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.36,6.985,,0.38528,0.58482,0.46955,0.34715998,0.040310003,0.061529998,GEECEE,2024-07-07
2.36,6.985,,0.38528,0.58482,0.46955,0.34715998,0.040310003,0.061529998,GEECEE,2024-07-13
2.36,6.985,,0.38528,0.58482,0.46955,0.34715998,0.040310003,0.061529998,GEECEE,2024-07-20
2.36,6.985,,0.38528,0.58482,0.46955,0.34715998,0.040310003,0.061529998,GEECEE,2024-07-27
2.36,6.985,,0.38528,0.58482,0.46955,0.34715998,0.040310003,0.061529998,GEECEE,2024-08-03
,,,0.36276,0.5529,0.44838002,0.44175997,,,GEECEE,2024-08-10
,,,0.36286998,0.55276,0.44852,0.44352,,,GEECEE,2024-08-17
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-08-24
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-09-01
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-09-08
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-09-15
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-09-21
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-09-28
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-10-05
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-10-12
,,,0.36277,0.65629,0.44831002,0.44125998,,,GEECEE,2024-10-19
