priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.81214267,1.4649289,,0.987,9.525,GINNIFILA,2024-07-07
0.75526565,1.3579322,,0.928,8.953,GINNIFILA,2024-07-13
0.73427284,1.324028,,0.909,8.771,GINNIFILA,2024-07-20
0.7889523,1.4028444,,0.953,9.193,GINNIFILA,2024-07-27
0.7786998,1.4028444,,0.953,9.193,GINNIFILA,2024-07-27
0.7550218,1.3552904,,0.927,8.939,GINNIFILA,2024-08-03
0.75894463,1.3491259,,0.923,9.08,GINNIFILA,2024-08-10
0.7502752,1.333715,,0.912,8.968,GINNIFILA,2024-08-17
0.7799984,1.3570516,,0.928,9.124,GINNIFILA,2024-08-24
0.7584489,1.3464841,,0.922,9.065,GINNIFILA,2024-09-01
0.8320147,1.4737352,,0.993,9.77,GINNIFILA,2024-09-08
0.7829713,1.3918365,,0.947,9.312,GINNIFILA,2024-09-15
0.77928805,1.3733433,,0.937,9.209,GINNIFILA,2024-09-21
0.74655974,1.3271102,,0.911,8.953,GINNIFILA,2024-09-28
0.7527522,1.3381181,,0.917,9.014,GINNIFILA,2024-10-05
0.7606785,1.3522081,,0.925,9.092,GINNIFILA,2024-10-12
0.7968423,1.4164941,,0.961,9.448,GINNIFILA,2024-10-19
