priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.8403683,6.543927,35.458775,2.003,14.476,GMMPFAUDLR,2024-07-07
1.9032419,6.7598853,36.62896,2.063,14.914,GMMPFAUDLR,2024-07-13
1.8379532,6.5452385,35.464386,2.01,15.924,GMMPFAUDLR,2024-07-20
1.9018707,6.7728586,36.49562,2.074,16.431,GMMPFAUDLR,2024-07-27
1.9018707,6.7728586,36.633167,2.074,16.431,GMMPFAUDLR,2024-07-27
1.8928702,6.7408056,36.49648,2.065,16.36,GMMPFAUDLR,2024-08-03
1.8330824,6.2274995,39.210297,,,GMMPFAUDLR,2024-08-10
1.743417,5.9738655,37.591347,1.901,15.673,GMMPFAUDLR,2024-08-17
1.8634812,6.372665,40.159542,2.037,16.791,GMMPFAUDLR,2024-08-24
1.8575221,6.36802,40.165543,2.035,16.78,GMMPFAUDLR,2024-09-01
1.9097334,6.545703,41.322582,2.087,17.207,GMMPFAUDLR,2024-09-08
1.9300497,6.619796,41.66813,2.109,17.385,GMMPFAUDLR,2024-09-15
1.9774526,6.7823815,42.741512,2.156,17.776,GMMPFAUDLR,2024-09-21
1.9413586,6.658584,42.022865,2.12,17.479,GMMPFAUDLR,2024-09-28
1.9118347,6.5561547,41.32796,2.09,17.232,GMMPFAUDLR,2024-10-05
1.8953776,6.497624,40.983006,2.073,17.092,GMMPFAUDLR,2024-10-12
1.9637734,6.7354636,42.3962,2.142,17.663,GMMPFAUDLR,2024-10-19
