priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.2395325,2.3286445,18.689299,1.359,10.378,GNA,2024-07-07
1.2754292,2.4362688,19.527897,,,GNA,2024-07-13
1.1539384,2.2046895,28.733427,1.271,10.117,GNA,2024-07-20
1.1774807,2.2440445,29.246338,1.292,10.281,GNA,2024-07-27
1.174537,2.2440445,29.246338,1.292,10.281,GNA,2024-07-27
1.1815432,2.2574306,29.420795,1.299,10.337,GNA,2024-08-03
1.1933138,2.2799191,29.755415,1.311,10.431,GNA,2024-08-10
1.136843,2.1720273,28.327515,1.246,9.919,GNA,2024-08-17
1.2169951,2.3251643,30.303558,1.334,10.619,GNA,2024-08-24
1.2059251,2.3040142,30.027912,1.323,10.531,GNA,2024-09-01
1.226804,2.3439047,30.590496,1.344,10.697,GNA,2024-09-08
1.2249824,2.3404243,30.481173,1.342,10.682,GNA,2024-09-15
1.2381542,2.36559,30.808926,1.355,10.787,GNA,2024-09-21
1.2405363,2.3701415,30.8682,1.358,10.806,GNA,2024-09-28
1.2472622,2.382992,31.057222,1.365,10.86,GNA,2024-10-05
1.2005993,2.2697458,29.581297,1.305,10.388,GNA,2024-10-12
1.1966773,2.261503,29.503843,1.301,10.35,GNA,2024-10-19
