quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-07-07
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-07-13
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-07-20
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-07-27
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-08-03
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-08-10
0.549,5.129,83.696,0.06762,0.23366,-0.02204,-0.0749,-0.00551,0.03412,GOCLCORP,2024-08-17
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-08-24
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-09-01
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-09-08
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-09-15
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-09-21
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-09-28
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-10-05
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-10-12
,,83.696,0.10475001,0.23629999,-0.03262,-0.08352,,,GOCLCORP,2024-10-19
